** Cluster Picker Results **
Input sequences =	C:\Users\Samantha Lycett\Documents\manuscripts\cluster_picker\referee_response\to_release\seasonal_flu\h3n2_1027.fas
Input tree =	C:\Users\Samantha Lycett\Documents\manuscripts\cluster_picker\referee_response\to_release\seasonal_flu\h3n2_1027_beast_mcc.tre.posterior.nwk
Initial support threshold=	0.7
Support threshold=	0.7
Genetic distance threshold=	0.02
Large cluster threshold=	10
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	C:\Users\Samantha Lycett\Documents\manuscripts\cluster_picker\referee_response\to_release\seasonal_flu\h3n2_1027_h3n2_1027_beast_mcc.tre.posterior_clusterPicks.fas
Output tree=	C:\Users\Samantha Lycett\Documents\manuscripts\cluster_picker\referee_response\to_release\seasonal_flu\h3n2_1027_beast_mcc.tre.posterior_clusterPicks.nwk
Output figtree=	C:\Users\Samantha Lycett\Documents\manuscripts\cluster_picker\referee_response\to_release\seasonal_flu\h3n2_1027_beast_mcc.tre.posterior_clusterPicks.nwk.figTree
-------------------------
There are	1027	sequences
Tree has	1027	tips
Found	93	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
11	5	5	[A/Christchurch/13/2004, A/New_York/236/2004, A/New_York/470/2004, A/New_York/395/2005, A/New_York/380/2004]	1.0	0.004703115814226925
12	5	5	[A/New_York/462/2005, A/New_York/463/2005, A/New_York/319/2004, A/New_York/371/2004, A/Waikato/1/2004]	0.8997296	0.005878894767783657
13	14	14	[A/Texas/NHRC0001/2005, A/New_York/376/2005, A/New_York/98/2004, A/New_York/362/2004, A/New_York/356/2004, A/New_York/237/2004, A/New_York/123/2004, A/New_York/361/2005, A/New_York/363/2004, A/Canterbury/104/2005, A/Wellington/2/2005, A/New_York/355/2004, A/New_York/388/2005, A/New_York/360/2004]	0.993343	0.009994121105232217
14	2	2	[A/New_York/391/2005, A/New_York/365/2004]	0.9935511	5.878894767783657E-4
15	2	2	[A/Canterbury/21/2004, A/Canterbury/102/2004]	0.9916788	5.878894767783657E-4
16	7	7	[A/Hong_Kong/HKU52/2005, A/TayNguyen/TN332/2005, A/TayNguyen/TN348/2005, A/Malaysia/32133/2005, A/Canterbury/258/2005, A/TayNguyen/TN367/2005, A/Morioka/22/2006]	0.9879343	0.006466784244562022
17	3	3	[A/HaNoi/Q427/2005, A/Queensland/52/2005, A/Hong_Kong/NHRC0001/2005]	1.0	0.0023515579071134627
18	3	3	[A/Hong_Kong/CUHK12316/2005, A/Hong_Kong/CUHK43751/2005, A/TayNguyen/TN405/2005]	0.7940503	0.0023515579071134627
19	2	2	[A/TayNguyen/TN346/2005, A/TayNguyen/TN410/2005]	1.0	0.0011757789535567313
20	7	7	[A/South_Carolina/NHRC0001/2005, A/Illinois/NHRC0001/2005, A/TayNguyen/TN381/2005, A/TayNguyen/TN403/2005, A/Queensland/49/2004, A/Western_Australia/61/2004, A/Queensland/50/2004]	0.9334304	0.007642563198118754
21	3	3	[A/TayNguyen/TN335/2005, A/TayNguyen/TN388/2005, A/TayNguyen/HCM52/2006]	1.0	0.003527336860670194
22	7	7	[A/South_Carolina/NHRC0001/2006, A/Illinois/NHRC0002/2006, A/Texas/NHRC0001/2006, A/Wisconsin/45/2006, A/Wisconsin/24/2007, A/Missouri/NHRC0001/2006, A/New_York/933/2006]	1.0	0.010582010582010581
23	2	2	[A/Ohio/06/2006, A/Illinois/NHRC0001/2006]	1.0	0.0023515579071134627
24	2	2	[A/Otago/1/2005, A/Queensland/57/2005]	1.0	0.0023515579071134627
25	2	2	[A/TayNguyen/TN368/2005, A/TayNguyen/TN360/2005]	1.0	5.878894767783657E-4
26	2	2	[A/Texas/NHRC0002/2006, A/New_York/938/2006]	0.7624298	0.0029394473838918285
27	14	14	[A/Morioka/18/2006, A/Malaysia/34015/2006, A/Florida/01/2007, A/Taiwan/70113/2007, A/Taiwan/1452/2007, A/HaNoi/BM38/2007, A/Taiwan/70002/2007, A/Taiwan/70307/2007, A/Vermont/01/2007, A/Massachusetts/12/2007, A/HaNoi/N080/2007, A/Hawaii/06/2006, A/California/UR06-0118/2007, A/Minnesota/16/2007]	0.9764926	0.011169900058788948
28	37	37	[A/HaNoi/Q011/2007, A/HaNoi/TX058/2007, A/BacNinh/N52/2007, A/Netherlands/363/2006, A/HaNoi/BT17/2007, A/HaNoi/N210/2007, A/HaNoi/BM061/2007, A/HaNoi/N015/2007, A/HaNoi/N035/2007, A/HaNoi/Q094/2007, A/Virginia/UR06-0605/2007, A/Hawaii/12/2007, A/Hawaii/13/2007, A/Colorado/15/2007, A/HaNoi/Q039/2007, A/Illinois/UR06-0600/2007, A/HaNoi/N078/2007, A/HaNam/Q187/2007, A/HaNoi/Q148/2007, A/HaNoi/N027/2007, A/HaNoi/Q031/2007, A/HaNoi/TX050/2007, A/HaNoi/TX022/2007, A/LangSon/LS156/2007, A/Wisconsin/27/2007, A/New_Jersey/02/2007, A/Nepal/921/2006_X_PR8_X-165, A/Pennsylvania/05/2007, A/HaNoi/Q220/2007, A/HaNoi/Q099/2007, A/Alabama/UR06-0545/2007, A/Wisconsin/02/2007, A/Kentucky/UR06-0370/2007, A/Alaska/05/2007, A/Texas/UR06-0480/2007, A/New_Jersey/05/2007, A/New_York/03/2007]	1.0	0.011169900058788948
29	6	6	[A/Malaysia/1681079/2006, A/Malaysia/1674395/2006, A/Malaysia/1676558/2006, A/Malaysia/1657167/2006, A/Malaysia/1665090/2006, A/Florida/04/2007]	0.9361348	0.012345679012345678
30	45	45	[A/Colorado/03/2007, A/Colorado/UR06-022/2007, A/Guangdong/548/2008, A/Guangdong/578/2008, A/Guangdong/04/2007, A/New_York/06/2008, A/New_York/08/2008, A/Netherlands/69/2007, A/TayNguyen/HCM955/2007, A/HaNoi/Q502/2007, A/Hawaii/18/2008, A/Texas/12/2008, A/Texas/91/2007, A/Minnesota/02/2008, A/Texas/02/2008, A/Boston/46/2008, A/Boston/23/2008, A/Tennessee/04/2008, A/Mississippi/UR07-0100/2008, A/Boston/2/2008, A/Ohio/UR07-0140/2008, A/California/09/2008, A/Oregon/01/2008, A/Maryland/03/2008, A/Boston/3/2008, A/Kentucky/UR07-0109/2008, A/California/UR07-0053/2008, A/Louisiana/04/2008, A/Pennsylvania/PIT39/2008, A/Boston/29/2008, A/Hawaii/03/2008, A/Texas/04/2008, A/Louisiana/05/2008, A/Ohio/UR07-0073/2008, A/Texas/01/2008, A/Texas/AF01/2007, A/Iowa/02/2008, A/Texas/05/2008, A/Boston/39/2008, A/Texas/03/2008, A/Florida/10/2008, A/Ohio/UR07-0035/2008, A/Korea/WRAIR1391P/2009, A/Cheongju/H471/2008, A/Cheongju/H380/2007]	0.8200541	0.019988242210464434
31	9	9	[A/Vermont/UR06-0470/2007, A/HaNoi/Q578/2007, A/HaNoi/Q492/2007, A/California/UR06-0463/2007, A/Taiwan/2361/2007, A/HaNoi/Q638/2007, A/HaNoi/BT262/2007, A/HaNoi/GS0737/2007, A/HaNoi/Q464/2007]	0.9113792	0.006466784244562022
32	7	7	[A/Guangdong/30/2007, A/Guangdong/15/2007, A/HaNoi/GS0740/2007, A/HoaBinh/HB378/2007, A/New_York/13/2007, A/Wisconsin/34/2007, A/California/UR06-0547/2007]	0.7189515	0.011169900058788948
33	2	2	[A/New_York/UR06-0040/2007, A/Mississippi/UR06-0197/2007]	0.9991679	0.001763668430335097
34	2	2	[A/Colorado/04/2007, A/Colorado/14/2007]	0.9993759	0.0023515579071134627
35	2	2	[A/Indiana/01/2007, A/Indiana/02/2007]	1.0	0.001763668430335097
36	2	2	[A/Colorado/UR06-0558/2007, A/California/NHRC0001/2007]	0.8381527	0.003527336860670194
37	7	7	[A/Texas/UR06-0358/2007, A/Texas/63/2007, A/Arizona/09/2007, A/Idaho/03/2008, A/California/30/2007, A/Texas/UR06-0418/2007, A/Texas/03/2007]	0.9767006	0.0029394473838918285
38	2	2	[A/HaNoi/GS0738/2007, A/Illinois/UR06-0567/2007]	0.999792	0.0023515579071134627
39	2	2	[A/Georgia/05/2007, A/Georgia/06/2007]	0.9952153	0.001763668430335097
40	8	8	[A/Malaysia/1922209/2008, A/Malaysia/1912341/2007, A/Malaysia/1959864/2008, A/HaNoi/Q430/2007, A/Malaysia/1768409/2007, A/Malaysia/1777545/2007, A/Malaysia/1781328/2007, A/Malaysia/1773914/2007]	0.9016018	0.00823045267489712
41	17	17	[A/Mexico/UASLP-011/2008, A/Mexico/UASLP-012/2008, A/Mississippi/05/2008, A/Texas/71/2007, A/Mississippi/01/2008, A/Washington/36/2007, A/Arizona/10/2007, A/Washington/42/2007, A/Kuwait/AF03/2008, A/California/UR07-0063/2008, A/Mexico/UASLP-014/2008, A/Kentucky/UR07-0081/2008, A/Nebraska/03/2008, A/California/UR07-0017/2008, A/Texas/36/2007, A/Idaho/10/2007, A/Malaysia/1767091/2007]	0.8649886	0.008818342151675485
42	2	2	[A/Missouri/02/2007, A/HaNoi/BM171/2007]	0.9993759	0.0011757789535567313
43	4	4	[A/Malaysia/1770921/2007, A/Malaysia/1918618/2007, A/Malaysia/1959476/2008, A/Penza/55/2008]	0.9983358	0.005291005291005291
44	7	7	[A/HaNoi/Q924/2007, A/Hue/H515/2007, A/Cheongju/H397/2008, A/Cheongju/H412/2008, A/Cheongju/H395/2007, A/Hue/H521/2007, A/LangSon/LS218/2007]	0.999792	0.005291005291005291
45	3	3	[A/New_Mexico/02/2007, A/New_Mexico/01/2007, A/North_Carolina/02/2007]	0.770751	0.001763668430335097
46	2	2	[A/Taiwan/70120/2008, A/Taiwan/72106/2007]	0.9887664	0.001763668430335097
47	2	2	[A/Missouri/06/2007, A/Uruguay/716/2007]	0.7420429	0.00411522633744856
48	4	4	[A/Managua/2/2007, A/Managua/5/2007, A/Managua/14/2007, A/Managua/3556-01/2007]	0.9972956	0.0029394473838918285
49	2	2	[A/Texas/11/2007, A/Texas/12/2007]	1.0	0.0011757789535567313
50	5	5	[A/Texas/37/2007, A/Texas/35/2007, A/Texas/72/2007, A/Texas/68/2007, A/Texas/34/2007]	0.9979197	0.0029394473838918285
51	2	2	[A/Mississippi/04/2008, A/Missouri/05/2008]	1.0	0.001763668430335097
52	2	2	[A/Managua/4348-01/2007, A/Managua/33/2007]	0.9987518	0.001763668430335097
53	2	2	[A/Kentucky/UR07-0068/2008, A/Kentucky/UR07-0037/2008]	0.8256709	0.001763668430335097
54	2	2	[A/Minnesota/14/2008, A/Virginia/02/2008]	0.9956314	0.0029394473838918285
55	2	2	[A/California/08/2008, A/New_Hampshire/01/2009]	1.0	0.003527336860670194
56	3	3	[A/Pennsylvania/PIT06/2008, A/Pennsylvania/PIT20/2008, A/Pennsylvania/PIT12/2008]	0.8129811	0.001763668430335097
57	2	2	[A/Arkansas/05/2008, A/Malaysia/1997829/2008]	0.9128354	0.0029394473838918285
58	2	2	[A/TayNguyen/TN341/2007, A/TayNguyen/TN367/2007]	1.0	5.878894767783657E-4
59	2	2	[A/Kentucky/UR07-0069/2008, A/Kentucky/UR07-0148/2008]	0.9390472	0.0011757789535567313
60	4	4	[A/Illinois/14/2008, A/Vermont/02/2008, A/Boston/19/2008, A/Boston/5/2008]	1.0	0.0023515579071134627
61	8	8	[A/Wisconsin/33/2007, A/Florida/07/2008, A/California/33/2007, A/Wisconsin/32/2007, A/California/35/2007, A/Nebraska/02/2008, A/Arizona/12/2007, A/Minnesota/04/2008]	0.8639484	0.007642563198118754
62	2	2	[A/Iraq/WRAIR1244P/2009, A/Iraq/WRAIR1252P/2009]	1.0	0.0011757789535567313
63	3	3	[A/Maryland/02/2009, A/Guangdong/314/2008, A/Lipezk/225/2009]	0.9673393	0.00823045267489712
64	2	2	[A/Florida/07/2007, A/Florida/11/2007]	1.0	0.0011757789535567313
65	2	2	[A/Arizona/11/2009, A/California/VRDL253/2009]	1.0	0.00411522633744856
66	5	5	[A/California/VRDL362/2009, A/Netherlands/761/2009, A/New_York/3745/2009, A/Hawaii/06/2009, A/Egypt/N04877/2009]	1.0	0.005291005291005291
67	4	4	[A/Kuwait/WRAIR1143P/2009, A/Kyrgyzstan/WRAIR1121P/2008, A/Kyrgyzstan/WRAIR1255P/2008, A/Moscow/402/2009]	1.0	0.0029394473838918285
68	6	6	[A/KhanhHoa/KH363/2008, A/KhanhHoa/KH474/2008, A/Delware/WRAIR1240/2009, A/KhanhHoa/KH475/2008, A/KhanhHoa/KH494/2008, A/KhanhHoa/KH466/2008]	1.0	0.005878894767783657
69	12	12	[A/Montana/04/2009, A/New_York/3146/2009, A/Boston/16/2009, A/California/VRDL212/2009, A/California/VRDL387/2009, A/Oregon/08/2009, A/Colorado/WRAIR1246P/2009, A/California/VRDL211/2009, A/California/VRDL172/2009, A/California/VRDL205/2009, A/California/VRDL250/2009, A/California/VRDL291/2009]	0.8916164	0.005291005291005291
70	11	11	[A/Texas/03/2009, A/Guam/WRAIR1670P/2009, A/Mexico_City/WRAIR1752T/2010, A/Guam/WRAIR1557P/2009, A/Moscow/416/2009, A/Moscow/24/2009, A/DaNang/DN453/2008, A/Idaho/17/2008, A/Idaho/18/2008, A/South_Korea/WRAIR1171P/2009, A/Hawaii/47/2008]	0.9993759	0.007642563198118754
71	113	113	[A/Malaysia/2205714/2009, A/Egypt/N11830/2009, A/Egypt/N11396/2009, A/California/VRDL285/2009, A/New_York/4165/2009, A/Australia/18/2009, A/California/VRDL243/2009, A/California/VRDL204/2009, A/Qingdao/2181/2009, A/Qingdao/2162/2009, A/Qingdao/1157/2009, A/Qingdao/2199/2009, A/Qingdao/2144/2009, A/Singapore/GP3448/2009, A/Qingdao/1346/2009, A/Qingdao/1158/2009, A/Qingdao/1116/2009, A/Qingdao/1115/2009, A/Qingdao/2157/2009, A/Singapore/C2009-803bV/2009, A/Qingdao/1167/2009, A/Boston/DOA71/2011, A/Sao_Paulo/16363/2010, A/Qingdao/1341/2009, A/Qingdao/2200/2009, A/Qingdao/1329/2009, A/Qingdao/1231/2009, A/Qingdao/1118/2009, A/Qingdao/1295/2009, A/New_York/3738/2009, A/California/VRDL257/2009, A/Thailand/CU-B1697/2009, A/Thailand/CU-H16/2009, A/New_York/3273/2009, A/Australia/2/2009, A/New_York/3536/2009, A/New_York/3137/2009, A/New_York/3542/2009, A/New_York/3417/2009, A/New_York/3527/2009, A/District_of_Columbia/WRAIR0301/2010, A/Cambodia/NHRCC00011/2009, A/New_York/3918/2009, A/New_York/4255/2009, A/New_York/1670/2009, A/California/VRDL328/2009, A/Guangdong/522/2009, A/Guangdong/423/2009, A/California/VRDL318/2009, A/New_York/1685/2009, A/Washington/WRAIR1057P/2009, A/Dakar/WRAIR0011T/2009, A/Dakar/WRAIR0013N/2009, A/California/VRDL361/2009, A/Hawaii/07/2009, A/Guangdong/560/2009, A/New_York/3932/2009, A/Qingdao/1045/2009, A/Qingdao/1046/2009, A/California/VRDL336/2009, A/Philippines/16/2009, A/South_Carolina/14/2009, A/Australia/55/2009, A/Korea/WRAIR1038P/2009, A/Perth/16/2009, A/Florida/WRAIR1241P/2009, A/Hawaii/14/2009, A/Hawaii/15/2009, A/California/VRDL345/2009, A/California/VRDL263/2009, A/California/VRDL296/2009, A/California/VRDL390/2009, A/California/VRDL181/2009, A/California/VRDL145/2009, A/California/VRDL315/2009, A/California/VRDL313/2009, A/California/VRDL339/2009, A/California/VRDL352/2009, A/Texas/40/2009, A/Texas/WRAIR1239P/2009, A/Singapore/C2009-458V/2009, A/Singapore/GP586/2009, A/Singapore/C2009-518V/2009, A/Nanjing/1654/2010, A/Nanjing/1655/2010, A/Nanjing/1663/2010, A/Niigata/1147/2010, A/Novosibirsk/1927/2011, A/Singapore/KK581/2011, A/Shantou/546/2010, A/Novosibirsk/76K/2011, A/Vladivostok/10/2011, A/Belgrade/WRAIR2379N/2010, A/Singapore/39/2009, A/Singapore/H2009-332C/2009, A/California/VRDL288/2009, A/Thailand/CU-B110/2009, A/Thailand/CU-H1285/2010, A/Thailand/CU-H1443/2010, A/Thailand/CU-B1672/2009, A/Singapore/H2009-334C/2009, A/New_York/3135/2009, A/Acre/15093/2010, A/Acre/26954/2010, A/Rondonia/3410/2011, A/California/VRDL259/2009, A/California/VRDL176/2009, A/California/VRDL327/2009, A/Cambodia/NHRCC00003/2009, A/Cambodia/NHRCC00008/2009, A/California/VRDL360/2009, A/New_York/3687/2009, A/California/VRDL255/2009]	0.9993759	0.018224573780129337
72	2	2	[A/Maryland/10/2008, A/New_York/3060/2009]	0.8346162	0.005291005291005291
73	4	4	[A/Texas/13/2008, A/Netherlands/377/2008, A/Texas/19/2008, A/Djibouti/N04787/2009]	1.0	0.005291005291005291
74	3	3	[A/California/VRDL177/2009, A/Arkansas/WRAIR1251P/2009, A/Wisconsin/18/2008]	0.9658831	0.0023515579071134627
75	4	4	[A/Hawaii/10/2009, A/California/12/2008, A/Ohio/14/2008, A/Oregon/03/2009]	0.9369669	0.010582010582010581
76	6	6	[A/California/VRDL333/2009, A/Colorado/06/2009, A/Minnesota/36/2008, A/Colorado/05/2009, A/Colorado/01/2009, A/Colorado/15/2008]	0.9821094	0.005291005291005291
77	2	2	[A/California/VRDL138/2009, A/California/VRDL156/2009]	1.0	5.878894767783657E-4
78	2	2	[A/California/VRDL262/2009, A/California/VRDL182/2009]	1.0	0.0011757789535567313
79	2	2	[A/Australia/46/2009, A/Australia/19/2009]	0.9825255	5.878894767783657E-4
80	68	68	[A/Guangdong/441/2010, A/Singapore/TT384/2010, A/Guangdong/429/2010, A/Singapore/H2010-559C/2010, A/Singapore/H2010-564C/2010, A/Netherlands/009/2010, A/Singapore/GP3872/2010, A/Singapore/C2010-682V/2010, A/District_of_Columbia/WRAIR1753P/2010, A/Guangdong/322/2010, A/Guangdong/460/2010, A/Boston/DOA06/2011, A/Singapore/GP4397/2010, A/Singapore/GP4453/2010, A/Denmark/105/2010, A/Guangdong/94/2011, A/Singapore/GP5/2011, A/Singapore/H2011-140C/2011, A/Singapore/GP4555/2010, A/Singapore/GP380/2011, A/Boston/DOA27/2011, A/Ontario/018/2011, A/Boston/DOA01/2011, A/Mato_Grosso/11689/2011, A/Sao_Paulo/11245/2011, A/Ontario/003/2010, A/Boston/DOA87/2011, A/Singapore/KK118/2011, A/Ontario/019/2011, A/Boston/DOA69/2011, A/Ontario/005/2010, A/Ontario/014/2011, A/Ontario/020/2011, A/Ontario/023/2011, A/Ontario/022/2011, A/Ontario/017/2011, A/Alabama/AF2692/2010, A/Piaui/14211/2011, A/Ontario/015/2011, A/Ontario/006/2010, A/Tocantins/4641/2011, A/Sao_Paulo/32892/2011, A/Distrito_Federal/40421/2011, A/Sao_Paulo/11-14557/2011, A/Distrito_Federal/86727/2010, A/Sao_Paulo/16761/2011, A/Ontario/021/2011, A/Ontario/001/2010, A/Singapore/KK413/2011, A/Singapore/GP4278/2010, A/Managua/2492-04/2010, A/Mexico_City/WRAIR4139N/2010, A/Mexico_City/WRAIR3571N/2010, A/California/NHRC0001/2011, A/Boston/DOA77/2011, A/Texas/NHRC0001/2011, A/Czech_Republic/114/2012, A/Czech_Republic/138/2012, A/Czech_Republic/130/2012, A/Saint_Petersburg/RII47/2012, A/Czech_Republic/126/2012, A/California/NHRC0003/2011, A/Boston/DOA04/2011, A/Managua/3424-01/2010, A/Bogota/WRAIR3457N/2010, A/Mexico_City/WRAIR3570T/2010, A/Ontario/004/2010, A/Singapore/N1604/2009]	1.0	0.01352145796590241
81	4	4	[A/Santo_Domingo/WRAIR3514T/2010, A/Santo_Domingo/WRAIR3516T/2010, A/Sao_Paulo/11-21152/2010, A/Egypt/N12479/2009]	0.9952153	0.004703115814226925
82	2	2	[A/Egypt/N08920/2009, A/Egypt/N11368/2009]	0.8941128	0.001763668430335097
83	3	3	[A/California/VRDL383/2009, A/California/VRDL308/2009, A/Victoria/502/2009]	0.9065945	0.001763668430335097
84	2	2	[A/Hawaii/05/2009, A/California/VRDL197/2009]	1.0	0.001763668430335097
85	2	2	[A/Montana/02/2008, A/Montana/05/2009]	0.854379	0.0011757789535567313
86	2	2	[A/California/VRDL386/2009, A/California/VRDL233/2009]	0.8027876	0.001763668430335097
87	14	14	[A/Managua/305-10/2010, A/Managua/4763-03/2010, A/Managua/3704-06/2010, A/Managua/1155-01/2010, A/Managua/3209-01/2010, A/Managua/80-1/2010, A/Managua/2867-01/2010, A/Managua/615-02/2010, A/Sao_Paulo/11-1800/2011, A/Distrito_Federal/93487/2010, A/Boston/DOA16/2011, A/Denmark/22/2011, A/Egypt/N13658/2009, A/Egypt/N13654/2009]	1.0	0.005878894767783657
88	5	5	[A/Singapore/GP3727/2010, A/Singapore/C2010-362V/2010, A/Singapore/H2010-471C/2010, A/Singapore/H2010-370C/2010, A/Singapore/C2010-036V/2010]	0.9685875	0.003527336860670194
